Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,998.0,18.0,49.0,2121.0,0.0,29.004000000000012,0.0,0.0,359.7243072986603,,,,,,,,,,,,,,,,,,,,,12.034394127030032,8.944115223759962,28.47122867389464,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1037.0,19.0,39.0,2160.0,0.0,14.507999999999992,0.0,0.0,363.4898977279663,,,,,,,,,,,,,,,,,,,,,4.054658701594558,4.569486336581256,14.378611154335337,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1080.0,20.0,43.0,2203.0,0.0,26.206000000000017,0.0,0.0,367.6496584415436,,,,,,,,,,,,,,,,,,,,,9.06766965304667,8.862481762962878,25.867799936993045,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,174.0,1.0,174.0,2377.0,0.0,114.40899999999999,0.0,0.0,539.0930860042572,,,,,,,,,,,,,,,,,,,,,50.64596858737026,34.73873117846431,105.80811188144867,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,247.0,2.0,73.0,2450.0,0.0,31.610000000000024,0.0,0.0,546.07373213768,,,,,,,,,,,,,,,,,,,,,11.477969115691675,9.695960764111547,30.833744910630866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,298.0,3.0,51.0,2501.0,0.0,31.80700000000002,0.0,0.0,551.1684463024139,,,,,,,,,,,,,,,,,,,,,11.008373518142287,10.665480417578554,31.308157958333453,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,352.0,4.0,54.0,2555.0,0.0,32.105,0.0,0.0,556.4604723453522,,,,,,,,,,,,,,,,,,,,,12.755162409612456,10.055039419457572,31.47914804682653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,396.0,5.0,44.0,2599.0,0.0,18.80800000000003,0.0,0.0,560.6659882068634,,,,,,,,,,,,,,,,,,,,,5.159432676472174,6.033836204784458,18.618202749531545,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,425.0,6.0,29.0,2628.0,0.0,13.606999999999994,0.0,0.0,563.4675559997559,,,,,,,,,,,,,,,,,,,,,4.04447648185876,4.693948613156993,13.516730125547067,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,475.0,7.0,50.0,2678.0,0.0,24.70900000000002,0.0,0.0,568.4612731933594,,,,,,,,,,,,,,,,,,,,,8.483052136369547,7.893792365031656,24.333490039771018,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,510.0,8.0,35.0,2713.0,0.0,23.004000000000012,0.0,0.0,571.9048516750336,,,,,,,,,,,,,,,,,,,,,8.634572883410724,7.870488052413553,22.74726172526944,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,545.0,9.0,35.0,2748.0,0.0,17.10900000000002,0.0,0.0,575.4049978256226,,,,,,,,,,,,,,,,,,,,,5.065010477684351,5.841411729007794,16.965638945533172,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,567.0,10.0,22.0,2770.0,0.0,8.906999999999995,0.0,0.0,577.8654916286469,,,,,,,,,,,,,,,,,,,,,2.5157380995646648,3.136201557895932,8.869383659745411,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
